Month,Theme
July 2025,Maternal and Child Health Month
August 2025,Membership & New Club Development Month
September 2025,Basic Education & Literacy Month
October 2025,Community Economic Development Month
November 2025,Rotary Foundation Month
December 2025,Disease Prevention & Treatment Month
January 2026,Vocational Service Month
February 2026,Peacebuilding & Conflict Prevention Month
March 2026,"Water, Sanitation & Hygiene Month"
April 2026,Environment Month
May 2026,Youth Service Month
June 2026,Rotary Fellowships Month
